INDUSTRY,ACTIVITYSUMMARYDATE,FACILITYTYPENAME,STRAINACTIVECOUNT,HARVESTACTIVECOUNT,PLANTVEGETATIVECOUNT,PLANTFLOWERINGCOUNT,PLANTHARVESTEDCOUNT,PLANTDESTROYEDCOUNT
Adult-use,2018-11,Marijuana Cultivator,216,17,96,7134,1376,18
Adult-use,2018-11,Marijuana Product Manufacturer,308,0,0,0,0,0
Adult-use,2018-11,Marijuana Retailer,1310,0,0,0,0,0
Adult-use,2018-11,Marijuana Transporter with Other Existing ME License,0,0,0,0,0,0
Adult-use,2018-12,Marijuana Cultivator,3894,149,67530,80850,12773,5690
Adult-use,2018-12,Marijuana Product Manufacturer,3688,0,0,0,0,0
Adult-use,2018-12,Marijuana Retailer,6802,0,0,0,0,0
Adult-use,2018-12,Marijuana Transporter with Other Existing ME License,6,0,0,0,0,0
Adult-use,2019-01,Marijuana Cultivator,7333,1485,167767,183677,90522,37865
Adult-use,2019-01,Marijuana Product Manufacturer,5302,0,0,0,0,0
Adult-use,2019-01,Marijuana Retailer,10347,0,0,0,0,0
Adult-use,2019-01,Marijuana Transporter with Other Existing ME License,12,0,0,0,0,0
Adult-use,2019-02,Marijuana Cultivator,9147,1129,201660,159771,139723,63124
Adult-use,2019-02,Marijuana Product Manufacturer,7141,0,0,0,0,0
Adult-use,2019-02,Marijuana Retailer,11690,0,0,0,0,0
Adult-use,2019-02,Marijuana Transporter with Other Existing ME License,495,0,0,0,0,0
Adult-use,2019-03,Marijuana Cultivator,12949,1460,220980,398885,300558,99164
Adult-use,2019-03,Marijuana Microbusiness,0,0,0,0,0,0
Adult-use,2019-03,Marijuana Product Manufacturer,11606,0,0,0,0,0
Adult-use,2019-03,Marijuana Retailer,17508,0,0,0,0,0
Adult-use,2019-03,Marijuana Transporter with Other Existing ME License,1388,0,0,0,0,0
Adult-use,2019-04,Marijuana Cultivator,16089,3146,311412,562963,406810,107516
Adult-use,2019-04,Marijuana Microbusiness,10,0,0,0,0,0
Adult-use,2019-04,Marijuana Product Manufacturer,14723,0,0,0,0,0
Adult-use,2019-04,Marijuana Retailer,20680,0,0,0,0,0
