YEARMONTH,AVERAGERETAILPRICEPERGM,UNIT
2020-01,14.68,Grams
2020-02,14.57,Grams
2020-03,14.39,Grams
2020-04,10.15,Grams
2020-05,14.36,Grams
2020-06,14.34,Grams
2020-07,14.34,Grams
2020-08,14.39,Grams
2020-09,14.34,Grams
2020-10,14.39,Grams
2020-11,14.32,Grams
2020-12,14.16,Grams
2021-01,14.21,Grams
2021-02,14.24,Grams
2021-03,14.23,Grams
2021-04,14.02,Grams
2021-05,14.02,Grams
2021-06,13.94,Grams
2021-07,13.90,Grams
2021-08,13.76,Grams
2021-09,13.61,Grams
2021-10,13.45,Grams
2021-11,13.28,Grams
2021-12,12.85,Grams
2022-01,12.64,Grams
2022-02,12.35,Grams
2022-03,11.95,Grams
2022-04,11.29,Grams
2022-05,11.01,Grams
2022-06,10.57,Grams
2022-07,10.15,Grams
2022-08,9.71,Grams
2022-09,9.16,Grams
2022-10,7.61,Grams
2022-11,8.04,Grams
2022-12,7.61,Grams
2023-01,7.06,Grams
2023-02,6.09,Grams
2023-03,6.58,Grams
2023-04,5.97,Grams
2023-05,5.98,Grams
2023-06,5.75,Grams
2023-07,6.20,Grams
2023-08,5.95,Grams
2023-09,5.89,Grams
2023-10,5.64,Grams
2023-11,5.59,Grams
2023-12,5.66,Grams
2024-01,5.65,Grams
2024-02,5.28,Grams
2024-03,5.31,Grams
2024-04,5.31,Grams
2024-05,5.28,Grams
2024-06,5.05,Grams
2024-07,5.01,Grams
2024-08,4.91,Grams
2024-09,4.85,Grams
2024-10,4.77,Grams
2024-11,4.56,Grams
2024-12,4.45,Grams
2025-01,4.42,Grams
2025-02,4.32,Grams
2025-03,4.28,Grams
2025-04,4.15,Grams
2025-05,4.21,Grams
2025-06,4.20,Grams
2025-07,4.14,Grams
2025-08,4.13,Grams
2025-09,4.09,Grams
2025-10,4.08,Grams
2025-11,4.01,Grams
2025-12,4.01,Grams
2026-01,4.05,Grams
2026-02,4.04,Grams
2026-03,4.03,Grams
