SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2021-06-07,Historical,Adult-Use,Delivery Operators,Infused (edible),3.0,3,90.0
2001-01-01 - 2026-04-12,2021-06-14,Historical,Adult-Use,Delivery Operators,Infused (edible),17.0,14,515.0
2001-01-01 - 2026-04-12,2021-06-14,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,7.0,2,130.0
2001-01-01 - 2026-04-12,2021-06-15,Historical,Adult-Use,Delivery Operators,Infused (edible),6.0,3,195.0
2001-01-01 - 2026-04-12,2021-06-16,Historical,Adult-Use,Delivery Operators,Infused (edible),1.0,1,30.0
2001-01-01 - 2026-04-12,2021-06-16,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,7.0,2,130.0
2001-01-01 - 2026-04-12,2021-06-17,Historical,Adult-Use,Delivery Operators,Infused (edible),8.0,6,270.0
2001-01-01 - 2026-04-12,2021-06-17,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,31.5,7,585.0
2001-01-01 - 2026-04-12,2021-06-18,Historical,Adult-Use,Delivery Operators,Infused (edible),8.0,7,265.0
2001-01-01 - 2026-04-12,2021-06-18,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,7.0,2,130.0
2001-01-01 - 2026-04-12,2021-06-21,Historical,Adult-Use,Delivery Operators,Infused (edible),10.0,8,320.0
2001-01-01 - 2026-04-12,2021-06-22,Historical,Adult-Use,Delivery Operators,Infused (edible),14.0,10,358.37
2001-01-01 - 2026-04-12,2021-06-22,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,24.5,6,408.38
2001-01-01 - 2026-04-12,2021-06-23,Historical,Adult-Use,Delivery Operators,Infused (edible),6.0,6,154.17
2001-01-01 - 2026-04-12,2021-06-23,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,35.0,6,583.3
2001-01-01 - 2026-04-12,2021-06-24,Historical,Adult-Use,Delivery Operators,Infused (edible),8.0,8,208.34
2001-01-01 - 2026-04-12,2021-06-24,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,14.0,4,233.36
2001-01-01 - 2026-04-12,2021-06-25,Historical,Adult-Use,Delivery Operators,Infused (edible),5.0,5,125.0
2001-01-01 - 2026-04-12,2021-06-25,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,3.5,1,58.34
2001-01-01 - 2026-04-12,2021-06-26,Historical,Adult-Use,Delivery Operators,Infused (edible),8.0,7,204.17
2001-01-01 - 2026-04-12,2021-06-26,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,3.5,1,58.34
2001-01-01 - 2026-04-12,2021-06-29,Historical,Adult-Use,Delivery Operators,Infused (edible),10.0,10,262.51
2001-01-01 - 2026-04-12,2021-06-29,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,10.5,3,175.02
2001-01-01 - 2026-04-12,2021-06-30,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,14.0,2,233.36
2001-01-01 - 2026-04-12,2021-07-01,Historical,Adult-Use,Delivery Operators,Buds,4.5,2,66.67
2001-01-01 - 2026-04-12,2021-07-01,Historical,Adult-Use,Delivery Operators,Infused (edible),12.0,11,295.86
2001-01-01 - 2026-04-12,2021-07-01,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,21.8,7,366.71
2001-01-01 - 2026-04-12,2021-07-02,Historical,Adult-Use,Delivery Operators,Buds,7.0,2,100.0
2001-01-01 - 2026-04-12,2021-07-02,Historical,Adult-Use,Delivery Operators,Infused (edible),18.0,18,483.36
2001-01-01 - 2026-04-12,2021-07-02,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,17.5,5,291.7
2001-01-01 - 2026-04-12,2021-07-03,Historical,Adult-Use,Delivery Couriers,Buds,14.0,4,170.0
2001-01-01 - 2026-04-12,2021-07-03,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),2.0,2,70.0
2001-01-01 - 2026-04-12,2021-07-03,Historical,Adult-Use,Delivery Couriers,Infused (edible),20.0,18,314.94
2001-01-01 - 2026-04-12,2021-07-03,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,28.0,20,424.98
2001-01-01 - 2026-04-12,2021-07-03,Historical,Adult-Use,Delivery Couriers,Vape Product,4.0,4,250.0
2001-01-01 - 2026-04-12,2021-07-03,Historical,Adult-Use,Delivery Operators,Buds,10.5,3,150.0
2001-01-01 - 2026-04-12,2021-07-03,Historical,Adult-Use,Delivery Operators,Infused (edible),7.0,7,179.17
