SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2018-11-05,Historical,Medical,Retail,Infused (edible),2.0,1,60.0
2001-01-01 - 2026-04-12,2018-11-20,Historical,Medical,Retail,Buds,441.51,127,5159.59
2001-01-01 - 2026-04-12,2018-11-20,Historical,Medical,Retail,Concentrate (Each),101.0,88,4931.18
2001-01-01 - 2026-04-12,2018-11-20,Historical,Medical,Retail,Infused (edible),61.0,45,1381.9
2001-01-01 - 2026-04-12,2018-11-20,Historical,Medical,Retail,Infused (non-edible),3.0,3,89.74
2001-01-01 - 2026-04-12,2018-11-21,Historical,Medical,Retail,Buds,1741.42,335,17449.63
2001-01-01 - 2026-04-12,2018-11-21,Historical,Medical,Retail,Concentrate (Each),232.0,197,10828.24
2001-01-01 - 2026-04-12,2018-11-21,Historical,Medical,Retail,Infused (edible),303.0,150,6621.41
2001-01-01 - 2026-04-12,2018-11-21,Historical,Medical,Retail,Infused (non-edible),11.0,10,476.83
2001-01-01 - 2026-04-12,2018-11-23,Historical,Medical,Retail,Buds,1185.0,323,13627.79
2001-01-01 - 2026-04-12,2018-11-23,Historical,Medical,Retail,Concentrate (Each),197.0,160,9066.74
2001-01-01 - 2026-04-12,2018-11-23,Historical,Medical,Retail,Infused (edible),150.0,91,4530.82
2001-01-01 - 2026-04-12,2018-11-23,Historical,Medical,Retail,Infused (non-edible),7.0,6,213.12
2001-01-01 - 2026-04-12,2018-11-24,Historical,Medical,Retail,Buds,1429.29,278,14214.11
2001-01-01 - 2026-04-12,2018-11-24,Historical,Medical,Retail,Concentrate (Each),156.0,136,8133.79
2001-01-01 - 2026-04-12,2018-11-24,Historical,Medical,Retail,Infused (edible),167.0,90,4232.82
2001-01-01 - 2026-04-12,2018-11-24,Historical,Medical,Retail,Infused (non-edible),7.0,5,220.44
2001-01-01 - 2026-04-12,2018-11-24,Historical,Medical,Retail,Kief,37.1,6,158.1
2001-01-01 - 2026-04-12,2018-11-25,Historical,Medical,Retail,Buds,588.46,163,6791.68
2001-01-01 - 2026-04-12,2018-11-25,Historical,Medical,Retail,Concentrate (Each),97.0,89,5351.28
2001-01-01 - 2026-04-12,2018-11-25,Historical,Medical,Retail,Infused (edible),183.0,88,3071.75
2001-01-01 - 2026-04-12,2018-11-25,Historical,Medical,Retail,Infused (non-edible),3.0,3,31.87
2001-01-01 - 2026-04-12,2018-11-25,Historical,Medical,Retail,Kief,10.6,2,23.65
2001-01-01 - 2026-04-12,2018-11-26,Historical,Medical,Retail,Buds,1093.64,233,10756.31
2001-01-01 - 2026-04-12,2018-11-26,Historical,Medical,Retail,Concentrate (Each),122.0,110,5182.8
2001-01-01 - 2026-04-12,2018-11-26,Historical,Medical,Retail,Infused (edible),249.0,123,5500.61
2001-01-01 - 2026-04-12,2018-11-26,Historical,Medical,Retail,Infused (non-edible),9.0,8,351.92
2001-01-01 - 2026-04-12,2018-11-26,Historical,Medical,Retail,Kief,5.3,1,18.22
2001-01-01 - 2026-04-12,2018-11-27,Historical,Medical,Retail,Buds,959.05,214,9684.18
2001-01-01 - 2026-04-12,2018-11-27,Historical,Medical,Retail,Concentrate (Each),184.0,154,9169.81
2001-01-01 - 2026-04-12,2018-11-27,Historical,Medical,Retail,Infused (edible),267.0,111,4782.3
2001-01-01 - 2026-04-12,2018-11-27,Historical,Medical,Retail,Infused (non-edible),9.0,7,220.03
2001-01-01 - 2026-04-12,2018-11-28,Historical,Medical,Retail,Buds,1035.52,218,10853.04
2001-01-01 - 2026-04-12,2018-11-28,Historical,Medical,Retail,Concentrate (Each),177.0,149,9477.98
2001-01-01 - 2026-04-12,2018-11-28,Historical,Medical,Retail,Infused (edible),298.0,132,6173.95
2001-01-01 - 2026-04-12,2018-11-28,Historical,Medical,Retail,Infused (non-edible),8.0,7,185.77
2001-01-01 - 2026-04-12,2018-11-29,Historical,Medical,Retail,Buds,1280.09,280,13661.66
2001-01-01 - 2026-04-12,2018-11-29,Historical,Medical,Retail,Concentrate (Each),184.0,168,8934.99
2001-01-01 - 2026-04-12,2018-11-29,Historical,Medical,Retail,Infused (edible),283.0,151,6212.66
2001-01-01 - 2026-04-12,2018-11-29,Historical,Medical,Retail,Infused (non-edible),13.0,12,355.1
2001-01-01 - 2026-04-12,2018-11-30,Historical,Medical,Retail,Buds,1596.14,380,17424.71
2001-01-01 - 2026-04-12,2018-11-30,Historical,Medical,Retail,Concentrate (Each),248.0,213,11524.64
2001-01-01 - 2026-04-12,2018-11-30,Historical,Medical,Retail,Infused (edible),383.0,174,7849.88
2001-01-01 - 2026-04-12,2018-11-30,Historical,Medical,Retail,Infused (non-edible),15.0,15,472.06
2001-01-01 - 2026-04-12,2018-11-30,Historical,Medical,Retail,Kief,47.7,1,225.0
2001-01-01 - 2026-04-12,2018-12-01,Historical,Medical,Retail,Buds,1646.62,377,15466.54
2001-01-01 - 2026-04-12,2018-12-01,Historical,Medical,Retail,Concentrate (Each),252.0,224,9950.06
2001-01-01 - 2026-04-12,2018-12-01,Historical,Medical,Retail,Infused (edible),294.0,174,7896.24
2001-01-01 - 2026-04-12,2018-12-01,Historical,Medical,Retail,Infused (non-edible),22.0,17,794.89
2001-01-01 - 2026-04-12,2018-12-01,Historical,Medical,Retail,Kief,5.3,1,0.2
2001-01-01 - 2026-04-12,2018-12-02,Historical,Medical,Retail,Buds,1316.45,241,12941.85
2001-01-01 - 2026-04-12,2018-12-02,Historical,Medical,Retail,Concentrate (Each),216.0,189,9181.79
2001-01-01 - 2026-04-12,2018-12-02,Historical,Medical,Retail,Infused (edible),178.0,107,5332.99
2001-01-01 - 2026-04-12,2018-12-02,Historical,Medical,Retail,Infused (non-edible),8.0,6,187.58
2001-01-01 - 2026-04-12,2018-12-03,Historical,Medical,Retail,Buds,1628.42,308,16395.27
2001-01-01 - 2026-04-12,2018-12-03,Historical,Medical,Retail,Concentrate,9.0,9,503.9
2001-01-01 - 2026-04-12,2018-12-03,Historical,Medical,Retail,Concentrate (Each),233.0,193,10566.68
2001-01-01 - 2026-04-12,2018-12-03,Historical,Medical,Retail,Infused (edible),327.0,177,7600.26
2001-01-01 - 2026-04-12,2018-12-03,Historical,Medical,Retail,Infused (non-edible),16.0,10,281.44
2001-01-01 - 2026-04-12,2018-12-04,Historical,Medical,Retail,Buds,1345.02,287,12572.14
2001-01-01 - 2026-04-12,2018-12-04,Historical,Medical,Retail,Concentrate,3.0,3,290.0
2001-01-01 - 2026-04-12,2018-12-04,Historical,Medical,Retail,Concentrate (Each),253.0,192,11175.65
2001-01-01 - 2026-04-12,2018-12-04,Historical,Medical,Retail,Infused (edible),446.0,176,7616.11
2001-01-01 - 2026-04-12,2018-12-04,Historical,Medical,Retail,Infused (non-edible),17.0,14,525.92
2001-01-01 - 2026-04-12,2018-12-04,Historical,Medical,Retail,Kief,5.3,1,25.0
2001-01-01 - 2026-04-12,2018-12-05,Historical,Medical,Retail,Buds,1490.14,280,14007.1
2001-01-01 - 2026-04-12,2018-12-05,Historical,Medical,Retail,Concentrate,6.0,6,550.0
2001-01-01 - 2026-04-12,2018-12-05,Historical,Medical,Retail,Concentrate (Each),202.0,169,9881.91
2001-01-01 - 2026-04-12,2018-12-05,Historical,Medical,Retail,Infused (edible),268.0,135,6044.32
2001-01-01 - 2026-04-12,2018-12-05,Historical,Medical,Retail,Infused (non-edible),11.0,9,433.76
2001-01-01 - 2026-04-12,2018-12-06,Historical,Medical,Retail,Buds,1718.5,337,16630.87
2001-01-01 - 2026-04-12,2018-12-06,Historical,Medical,Retail,Concentrate,5.0,5,409.83
2001-01-01 - 2026-04-12,2018-12-06,Historical,Medical,Retail,Concentrate (Each),232.0,178,9403.8
2001-01-01 - 2026-04-12,2018-12-06,Historical,Medical,Retail,Infused (edible),347.0,183,7883.04
2001-01-01 - 2026-04-12,2018-12-06,Historical,Medical,Retail,Infused (non-edible),10.0,8,239.05
2001-01-01 - 2026-04-12,2018-12-07,Historical,Medical,Retail,Buds,2149.04,360,20533.95
2001-01-01 - 2026-04-12,2018-12-07,Historical,Medical,Retail,Concentrate,23.0,22,1185.23
2001-01-01 - 2026-04-12,2018-12-07,Historical,Medical,Retail,Concentrate (Each),248.0,207,10858.25
2001-01-01 - 2026-04-12,2018-12-07,Historical,Medical,Retail,Infused (edible),327.0,171,7569.09
2001-01-01 - 2026-04-12,2018-12-07,Historical,Medical,Retail,Infused (non-edible),21.0,16,493.7
2001-01-01 - 2026-04-12,2018-12-07,Historical,Medical,Retail,Kief,29.0,13,554.49
2001-01-01 - 2026-04-12,2018-12-08,Historical,Medical,Retail,Buds,1208.34,266,12340.6
2001-01-01 - 2026-04-12,2018-12-08,Historical,Medical,Retail,Concentrate,15.0,12,998.0
2001-01-01 - 2026-04-12,2018-12-08,Historical,Medical,Retail,Concentrate (Each),192.0,173,8431.21
2001-01-01 - 2026-04-12,2018-12-08,Historical,Medical,Retail,Infused (edible),243.0,153,6934.73
2001-01-01 - 2026-04-12,2018-12-08,Historical,Medical,Retail,Infused (non-edible),14.0,14,449.89
2001-01-01 - 2026-04-12,2018-12-09,Historical,Medical,Retail,Buds,832.92,175,8814.94
2001-01-01 - 2026-04-12,2018-12-09,Historical,Medical,Retail,Concentrate,4.0,4,380.0
2001-01-01 - 2026-04-12,2018-12-09,Historical,Medical,Retail,Concentrate (Each),168.0,138,8176.29
2001-01-01 - 2026-04-12,2018-12-09,Historical,Medical,Retail,Infused (edible),211.0,94,5072.14
2001-01-01 - 2026-04-12,2018-12-09,Historical,Medical,Retail,Infused (non-edible),2.0,2,20.75
2001-01-01 - 2026-04-12,2018-12-10,Historical,Medical,Retail,Buds,1017.42,245,10724.85
2001-01-01 - 2026-04-12,2018-12-10,Historical,Medical,Retail,Concentrate,1.0,1,0.01
2001-01-01 - 2026-04-12,2018-12-10,Historical,Medical,Retail,Concentrate (Each),130.0,117,6003.76
2001-01-01 - 2026-04-12,2018-12-10,Historical,Medical,Retail,Infused (edible),230.0,124,5910.61
2001-01-01 - 2026-04-12,2018-12-10,Historical,Medical,Retail,Infused (non-edible),15.0,11,406.45
2001-01-01 - 2026-04-12,2018-12-11,Historical,Medical,Retail,Buds,1050.8600000000001,256,11260.29
2001-01-01 - 2026-04-12,2018-12-11,Historical,Medical,Retail,Concentrate,4.0,4,300.01
2001-01-01 - 2026-04-12,2018-12-11,Historical,Medical,Retail,Concentrate (Each),227.0,180,10663.06
