SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2001-02-22,Historical,Adult-Use,Retail,Infused (edible),2.0,1,50.0
2001-01-01 - 2026-04-12,2001-02-22,Historical,Adult-Use,Retail,Raw Pre-Rolls,4.0,1,48.0
2001-01-01 - 2026-04-12,2001-03-11,Historical,Adult-Use,Retail,Raw Pre-Rolls,3.54,1,0.01
2001-01-01 - 2026-04-12,2003-06-21,Historical,Adult-Use,Retail,Vape Product,5.0,3,300.0
2001-01-01 - 2026-04-12,2003-10-12,Historical,Adult-Use,Retail,Raw Pre-Rolls,-1.0,1,-12.0
2001-01-01 - 2026-04-12,2018-11-05,Historical,Adult-Use,Retail,Infused (edible),2.0,2,60.0
2001-01-01 - 2026-04-12,2018-11-06,Historical,Adult-Use,Retail,Infused (edible),2.0,2,57.0
2001-01-01 - 2026-04-12,2018-11-19,Historical,Adult-Use,Retail,Buds,0.0,4,0.0
2001-01-01 - 2026-04-12,2018-11-19,Historical,Adult-Use,Retail,Concentrate (Each),0.0,2,0.0
2001-01-01 - 2026-04-12,2018-11-20,Historical,Adult-Use,Retail,Buds,15029.439999999999,5787,201773.4
2001-01-01 - 2026-04-12,2018-11-20,Historical,Adult-Use,Retail,Concentrate (Each),3031.0,2757,163585.03
2001-01-01 - 2026-04-12,2018-11-20,Historical,Adult-Use,Retail,Infused (edible),3092.0,2171,72192.26
2001-01-01 - 2026-04-12,2018-11-20,Historical,Adult-Use,Retail,Infused (non-edible),70.0,69,2460.63
2001-01-01 - 2026-04-12,2018-11-21,Historical,Adult-Use,Retail,Buds,15719.369999999999,6018,217475.9
2001-01-01 - 2026-04-12,2018-11-21,Historical,Adult-Use,Retail,Concentrate (Each),2900.0,2622,161214.15
2001-01-01 - 2026-04-12,2018-11-21,Historical,Adult-Use,Retail,Infused (edible),2258.0,1666,60150.37
2001-01-01 - 2026-04-12,2018-11-21,Historical,Adult-Use,Retail,Infused (non-edible),68.0,60,2699.75
2001-01-01 - 2026-04-12,2018-11-23,Historical,Adult-Use,Retail,Buds,13011.82,6733,190831.44
2001-01-01 - 2026-04-12,2018-11-23,Historical,Adult-Use,Retail,Concentrate (Each),3757.0,3436,210369.57
2001-01-01 - 2026-04-12,2018-11-23,Historical,Adult-Use,Retail,Infused (edible),2968.0,1934,74571.59
2001-01-01 - 2026-04-12,2018-11-23,Historical,Adult-Use,Retail,Infused (non-edible),108.0,96,3976.0
2001-01-01 - 2026-04-12,2018-11-24,Historical,Adult-Use,Retail,Buds,13600.95,7531,194914.06
2001-01-01 - 2026-04-12,2018-11-24,Historical,Adult-Use,Retail,Concentrate (Each),3412.0,3092,196641.42
2001-01-01 - 2026-04-12,2018-11-24,Historical,Adult-Use,Retail,Infused (edible),2331.0,1773,69821.73
2001-01-01 - 2026-04-12,2018-11-24,Historical,Adult-Use,Retail,Infused (non-edible),94.0,85,3342.0
2001-01-01 - 2026-04-12,2018-11-24,Historical,Adult-Use,Retail,Kief,561.8,93,2618.11
2001-01-01 - 2026-04-12,2018-11-25,Historical,Adult-Use,Retail,Buds,11579.07,5976,171859.15
2001-01-01 - 2026-04-12,2018-11-25,Historical,Adult-Use,Retail,Concentrate (Each),2628.0,2420,149223.17
2001-01-01 - 2026-04-12,2018-11-25,Historical,Adult-Use,Retail,Infused (edible),2436.0,1898,62373.99
2001-01-01 - 2026-04-12,2018-11-25,Historical,Adult-Use,Retail,Infused (non-edible),80.0,73,2331.98
2001-01-01 - 2026-04-12,2018-11-25,Historical,Adult-Use,Retail,Kief,392.2,65,1847.5
2001-01-01 - 2026-04-12,2018-11-26,Historical,Adult-Use,Retail,Buds,10371.43,4965,156684.08
2001-01-01 - 2026-04-12,2018-11-26,Historical,Adult-Use,Retail,Concentrate (Each),2322.0,2109,137044.82
2001-01-01 - 2026-04-12,2018-11-26,Historical,Adult-Use,Retail,Infused (edible),2014.0,1530,52885.36
2001-01-01 - 2026-04-12,2018-11-26,Historical,Adult-Use,Retail,Infused (non-edible),69.0,62,2348.51
2001-01-01 - 2026-04-12,2018-11-26,Historical,Adult-Use,Retail,Kief,339.2,59,1600.0
2001-01-01 - 2026-04-12,2018-11-27,Historical,Adult-Use,Retail,Buds,9305.1,4527,140476.36
2001-01-01 - 2026-04-12,2018-11-27,Historical,Adult-Use,Retail,Concentrate,74.2,154,8414.66
2001-01-01 - 2026-04-12,2018-11-27,Historical,Adult-Use,Retail,Concentrate (Each),1991.0,1848,115325.97
2001-01-01 - 2026-04-12,2018-11-27,Historical,Adult-Use,Retail,Infused (edible),2149.0,1652,51937.98
2001-01-01 - 2026-04-12,2018-11-27,Historical,Adult-Use,Retail,Infused (non-edible),56.0,54,1751.74
2001-01-01 - 2026-04-12,2018-11-27,Historical,Adult-Use,Retail,Kief,79.5,13,375.0
2001-01-01 - 2026-04-12,2018-11-28,Historical,Adult-Use,Retail,Buds,9754.14,4802,148641.24
